,comment,username
33,frank and claire brought me here lol,Johnn Siann
34,"if movie ratings went above 10 , this would be one of them , just too many iconic scenes , i.e.. E. G. ROBINSON&#39;S mesmerizing rant to his boss on the different ways to commit suicide , one of the all time greats on full display .",Daniel Forte
35,"I actually taught English in Brittany, France 20 years ago with excerpts of this film to a few grade 10 classes. I taped audio excepts onto CDs for them to play certain parts,especially this one!",Yann Schonfeld
36,Great dialogue and of course great acting.,Antajuan Grady
37,"I first saw Barbara Stanwyck as a child in the Big Valley lol. So I wasn&#39;t prepared to see her doing this, but dayumm this is one of the best film noirs movies ever made, as everyone already knows.",Melodie Frances
38,can never tire of the dialogue... pure excellence,parmilesombres
39,"The dialogue between these two characters were so sensual, great acting ♥️",Brenda Sykes-Tucker
40,&quot;How could I have known that murder can sometimes smell like honeysuckle&quot;,S O V L 
41,"&quot;How could I know that murder could smell like honeysuckle…..&quot;Forget Spiderman 14. Forget A star is born 4. Do yourself a favour and watch Billy Wilder. Watch double indemnity, watch the appartement. watch some like it hot. you&#39;ll never know what hit you…… here&#39;s real class.....",norma desmond
42,Brilliant.,Duke K
43,Barbara Stanwyck is not beautiful. There I said it.,Guepardo Guepárdez
44,Shouldn’t this be in the public domain after 50 plus years........Barbra Stanwick can act!,Rob Thompson
45,"When Fred MacMurray  says, &quot;That tears it&quot;, he announces to Barbara Stanwyck and the audience that he is 100 percent heterosexual. Good 1940&#39;s morals...mmm hmm.",Zoltan Korda
46,Makes me want to see it again.,Dan63
47,this scene is masterful. barbara is red hot,Morgan Brush
48,Such a great film,Greg
49,2002: AFI&#39;s 100 Years…100 Passions – #84,Vegeta Solo
50,good movie,Dredo
51,"This scene was my favourite part of the movie, such perfect dialogue and sexual tension, delicious...",Mungo Midge
52,Subtext at its finest,roger8654
53,"&#39;How was I to know that murder sometimes smelled like honeysuckle...&#39; <br>Raymond Chandler was one of the script writers on this, that line feels like his",Kate Quinn
54,Love Stanwyck&#39;s voice,Gunnar Eðvarðsson
55,The way they flirted in this film was so entertaining. Cant find something like that these days,slidejones
56,That damn Anklet!,David Gray
57,"I don&#39;t get it. Why does Philly has relation with Nino,is that she wants to kill Neff?It doesnt makes to me,kill Neff cnat solved anything,she doesnt have the motivation, can somebody explain  it?",ChitGoân Siau
58,Too bad Stanwyck never got the chance to play Lady MacBeth.,Bill Olsen
59,"Fred was very good playing warm comedy rolls, Absent Minded Professor, Follow Me Boys, but even better at playing bad guys, Walter Neff planning a murder, Lt Tom Keefer double-dealing with Military Justice &amp; his friend&#39;s life and Jeff Scheldrake playing with the hearts of emotionally involved young women &amp; abusing his power as an executive.",Bill Olsen
60,"Just watched this gem for the first time and it is excellent!  Gonna be watching it again real soon.  One question:  why is Walter wearing a ring on his left-hand ring finger if he is single?  I know not every ring is a wedding ring, but that&#39;s what it means when you wear it on the 3rd finger of your left hand.  A pinkie ring or class ring, I understand.  But this is weird.  Great flick!",Derek Wischmann
61,HOUSE OF CARDS,Ruvindu Gamage
62,"A dame with gorgeous gams, a rich old man, a gat, and a lonely house with nothing but bourbon and Chanel to stink up the wallpaper. Now THAT&#39;S danger.",Robert Haworth
63,Billy Wilder brought me here.,Grenadier on beans
64,she set him up so beautifully. like a pro that she was.,BASS MARINO
65,I wonder if you wonder....,Angel CityGirl
66,"Just seen this film, wow, mind....blown. Really good film!",bonekolekta
67,Two very mature Greats and they&#39;re on top of there game in this one.,Maria White
68,"A fine Billy Wilder film written by Wilder, Raymond Chandler and James Cain, who wrote the novel. I wish I&#39;d never seen it, so I could experience it for the first time.",A Face in the Crowd
69,I love this movie so much!!!! I love Barbara Stanwyck,Northbridge
70,Awesomeness.,SpockBoy
71,The Underwoods 🔥🔥,Annie HalfwayHappy
72,House of CARDS BROUGHT ME HERE!!,Abdullah Majeed
73,House of cards brought me here,Jee Hun Kim
74,HOUSE OF CARDS!!!!!,Derek Kudjer
75,Suppose,Braulio Valdez
76,"Paper Analysis<br><br>Double Indemnity<br><br><br>Double Indemnity<br><br>Double Indemnity explores a highly celebrated film<br>production, which castes urban crime drama where an avaricious, week man is<br>lured and trapped materialistic things. Walter Huff seduces insurance agent,<br>Nordlinger, into having her husband murdered to procure his accident policy.<br>The murder goes as planned. However, the passion of the couple cools but they<br>become very suspicious of their motives. Both Huff and Nordlinger are deceitful<br>and callous lovers who would not stop at anything to fulfill their selfish<br>motives. The pair have a way of cunningly making their friends and foe perish.<br>They have a weird way of extending their ill motives to whoever they consider a<br>threat to them. Half calculates, cold-blood scheme to ferociously murder Nordlinger’s<br>husband owing to his lustful desire for financial gain. He has identified a<br>double indemnity clause in Nordlinger husband’s accident policy. By good luck,<br>their plan fails by a whisker and Nordlinger’s husband survive his noose. His<br>conspiracy is fraudulent and leads to leads to guilt, betrayal, suspicion, and<br>deceit. The plot to have his client murdered leaves behind a trail of thrilling<br>intrigues in the film with various strips of nasty and sharp dialogue as his<br>actions are revealed.<br>Red Wind   <br>First published in 1938, the setting of Red Wind is in Southern California, on a warm<br>evening. The audience comes to learn about this since this is the spot where<br>Santa Ana winds, traditionally occur. The story castes Philip Marlowe as the main<br>character and he plays the role of a detective. Dalmas is having a nice time<br>with friends at a bar. In the midst of their story, they notice a man walking<br>in search of a woman. The man gives a comprehensive description of who he is<br>looking for. Formerly a detective, John Dalmas is the anti-hero in Red Wind. In the<br>line of duty Marlowe reveals that Lola colludes with Waldo for a gems business at<br>a bar. Marlowe tries to assist Lola to recover her gems and at the same time secures<br>his escape from the plot to kill him the same way Waldo was murdered in a bar. Notably,<br>The Red Wind is figurative as it embodies bloodshed and violence. Dalmas character<br>that which embodies double standards. He is strange and highly motivated by the<br>love of a lady who swears to give him protection after he helped her out in her<br>distress. The main theme that runs deep in The Red Wind is the motif of<br>violence and that of death as things seem to happen, especially when the winds<br>no longer blow. <br>Mostly set in the urban areas, the two films reflect the cultural reactions on post modernity. Both Red Wind and Double Indemnity are detective stories who try to explore and unravel murder mysteries. In both<br> the stories, feminism takes center stage to give guide the storyline. While the setting of Red Wind is in a Southern California Bar, Double Indemnity is set at an insurance bureau. The themes in these stories revolve around crime and the detective conventions. Much of the hostilities that characterize the characters in these stories are the results of the cold war, which renders a feeling of mistrust, fear, and guilt amongst the erstwhile friends. The two films depict with precision, the anti-hero consciousness who try to survive but end up losing. <br>~writershub411@gmail.com",Writers Hub
77,This movie should be in the public domain....it&#39;s a shame ....this is good acting,Rob Thompson
78,Oh Fred.,Alexandra S
79,"Good old Fred MacMurray is so damn sexy in this. Barbara Stanwyck too, of course, but that goes without saying..",Michael Totzke
80,Great back and forth dialogue.  I heard that Stanwyck was bi-sexual.  So was Joan Crawford while Agnes Moorhead was a lesbian.  Great line:  &quot;I wonder if you wonder?&quot;,Austin Teutsch
81,"<a href=""http://www.youtube.com/watch?v=ZKdcYnlkhx8&amp;t=0m53s"">0:53</a> This is how you out sass someone. Well said Barbra.",Michael Chabot
82,&quot;That tears it.&quot; lol,Phillip S
83,"This scene has been running through my mind for days now, usually while I&#39;ve been driving, and I had to watch it again. &quot;There&#39;s a speed limit in this state, Mr. Neff. 45 miles an hour.&quot;",hebneh
84,great movie,master 82575
85,"Gosh, I miss acting in movies. I&#39;m bored of realistic method acting. That&#39;s why Silence of the Lambs and a few actors are like Meryl Streep, Jennifer Lawrence, Daniel Day Lewis, are popular. They act the old school way.",Jules Love
86,Was this filmed in Los Angeles?,Barbi Kelly
87,"I LOVE THIS MOVIE!!!!! I love how even though the actors are good (for their era) at emulating &quot;realistic&quot; and nonchalant dialogue, it still comes off as a &quot;performance&quot; (esp. from Fred MacMurray), but I LOVE it, it gives it a bit of a theatrical edge that many great movies today have lost due to being hyper-realistic.",BuzzKirill
88,"a great deal of production effort into <a href=""http://movieclips.com"">movieclips.com</a>.  Impressive!<br><br>As far as Double Indemnity; what a classic film noir!  Its almost as if all the major players who came after studied Barbara Stanwyck in this role.  She set the standard for noir femme fatales didn&#39;t she?  Fred was a little mushy for my taste and I&#39;m afraid actually dragged the movie down in a lot of spots; his 1930s gangster style rapid fire delivery of his lines along with his narrative style are what saved him from sinking the whole business.  He is definitely more suited to &quot;My Three Sons&quot; where he is safe from designing women..",learningrichard
89,"Wow! Billy Wilder.  What a writer.  The dialog in this scene is fun, to say the least. ",Karicat Watts
90,"A fantastic film which has aged very well indeed. Tight and twisty plotting, engagingly sparky dialogue, meticulous and nuanced performances. And the detailed insider &quot;dope&quot; on insurance and scams is a delight. There&#39;s not a slack moment in this film. Tremendous continuity editing too. Oh, and no happy ending and Oedipal trajectory.",Wilderness Solo
91,"How could I now that murder would smell like honeysuckle? Maybe you would ahve known, Keyes.",pix046
92,"WOW, this film has everything, a film I watched back in the sixties when I was a teenager. Loved it then as I love it now, one of the best. x.",happychappy12
93,L.A. Noire brought me here.,ManyPeregrine81
94,One of my favorite movies ever. Barbara Stanwyck was so damn sexy.,randy west
95,i love you too Keyes ,Jessica
96,&quot;I wonder if you wonder&quot;.  A Raymond Chandler(creator of P.Marlowe) moviescript. I believe his only one and Billy Wilder Directing. Razor sharp dialogues and great shots. A delicious story about lust and betrayal. Film Noir At it&#39;s finest with Edward G Robinson. And what about the music and the opening. One of the best movies ever made and somehow it always reminds me of My other Noir favorite Blood Simple.,decunamus2
97,"This dialogue blew my mind the first time I heard it. I was slapping my knee, laughing and astonished by the audacity of these two. Perhaps it won&#39;t end well for him...",bewitchers
98,One of the best movies ever made,bbaggins1298
