,comment,username
63,Amazing acting from Logan 💙,Aroha Kohu-Smith
64,"When I saw this movie for the first time (I only watched it once), I was so confused watching the flashbacks. This scene though... You know that feeling when you&#39;re so upset that you could throw up? That&#39;s what I felt watching this scene. People like Charlie&#39;s aunt disgust me, no one, let alone a <b>child</b> should experience this! What is wrong with people?!",Ashley Panzica
65,This movie is the reason why I was able to deal with the fact that my cousin molested me when I was younger. No one know how much it destroys relationships and your brain. How it makes you react to things that no one else would react to. How it feels like everything is going wrong and you’re a burden.,Waffleita
66,"In my opinion this sick, perverted aunt got off way too easy by committing suicide. She abused and violated Charlie&#39;s trust and took advantage of him... probably because she failed in relationships with adult men or she was just too pathetic to find an adult man to be in a relationship with. Whatever the reason suicide was an easy way out for her.",Ian Hampton
67,"Hardest part is learning that the people whom you thought will understand, never really understood a thing",Ranjith Sethu
68,That hospital room is not safe for a suicidal person,Sam Cu
69,When I realised what had happened to him I started to crack and when he was ordering himself to stop crying I felt shattered.  I think anyone who has ever had an anxiety attack and ordered yourself to stop because you know you’re on the brink can relate to that scene.,Sam Jones
70,Till this day this scene breaks me they did so good Nina voice omg,Andrea Valdez
71,"<a href=""https://www.youtube.com/watch?v=pWbrPDoi2RM&amp;t=2m34s"">2:34</a> FBI OPEN UP",Auto
72,"<a href=""https://www.youtube.com/watch?v=pWbrPDoi2RM&amp;t=3m24s"">3:24</a>",Dipesh Rai
73,Teens nowadays want this shit happening to them.,BerserkMans BigSlab
74,I hate that the number one comment on this is that we&#39;re broken. We&#39;re not broken. People did horrible stuff to us and we may have broken but we were kids and we didn&#39;t have much else we could do. We get better. We get older and stronger and we work on ourselves and we rebuild. WE&#39;RE SO FUCKING AMAZING AND ABLE TO GROW AND CHANGE AND ONE DAY WE SEE IT ISN&#39;T OUR FAULT AND IT NEVER WAS AND WE GET TO BE WELL. You can be well. You can wake up almost every day happy and proud of who you are. On the days you aren&#39;t you can be there for yourself and not punish yourself. It&#39;ll take work but it&#39;s there. Its as real as anything else in this fucked up world. DON&#39;T LET PEOPLE WHO DON&#39;T KNOW WHAT IT&#39;S LIKE TELL YOU YOU CAN&#39;T REBUILD YOURSELF BECAUSE YOU CAN. People like feeling like they&#39;re smart and know all the answers and &quot;Oh look at those poor kids with their broke psyches&quot; FUCK THAT!,Frances Meyer
75,"I feel ya 😔. I am actually dealing what charlie&#39;s dealing with since high school &#39;til now. Its kinda really hard for me because no one knows what i really feel. I never open up myself to anyone. I overthink all the things of what will happen if i tell them. Thats why now i still dont know what really is the answer to what i feel. I did not consult anyone even an expert about this coz i really have a hard time talking to someone. Most(or few) of us, deals with this kind of feelings, are not participating because we are not a good speaker nor having confidence to stand facing other people. Sorry if i dont elaborate very much coz its hard for me till now.",Ota Ku
76,"this was one of the best representations of a suicidal breakdown I&#39;ve ever seen. but then, the illusion was totally ruined by the fact charlie was alone in the hospital room with flowers AND two lamps. way too dangerous. the only lights in most psych ward rooms are leds in walls. and flowers? not unless you&#39;re a low-risk longterm patient. and it was so realistic until then too! argh idk why im so pissed over these tiny details.",dumb muso rowan
77,charlie became a famous author and changed his name to Sydney Hall,Patrick Sky
78,"The acting, cinematography, editing, and directing in this scene is unbelievable. Seriously, if anyone writes this movie off as another YA trendy film, they need to watch this scene and rethink that ideology.",Emerson Fleming
79,This hit me hard when I watched this scene..I never had a breakdown but I also lived through a similar event. <br>It&#39;s weird and I don&#39;t know how I deal with it but I sometimes do realize certain things I do happen at unconscious level...like.. my aversion to priests and lack of trust issues with strangers to a weird level or things that arise with any shred of intimacy.<br>I realized something the other day.<br>I feel like I&#39;m being used. I feel like I&#39;m just a body and I feel like anyone that tries to get close to me in any intimate/romantic sense has wants something from me. Deep down I know there are issues but I guess I grew comfortable with shoving it deep in my subconscious where I can&#39;t actually see anymore. I guess this scene helped me realize something that has always been there. <br>It&#39;s ok to not be ok.,TheOMGRamen
80,"It’s terrible when children are molested, doesn’t matter if it was a stranger, a friend or a family member. It’s a crime and they must be stopped.",orlandobabe
81,"This is hard to watch because I can relate to Charlie a lot, and it brings back memories of guilt and substance abuse I did to deal with pain, some people  chose to self - harm with razors, I chose to do it with drugs and alcohol. I’ve been through so much abuse that I can’t even look people in the eye. I don’t go outside because I hate my appearance. I avoid mirrors, photographs and any kind of intimacy. I tell myself I can live alone but truth is I crave affection and I am shamefully addicted to porn because those 4 seconds of no obsessive suicidal thoughts and “pleasure”  are the only thing in my life that “help” me in some way. I have had anxiety and OCD as long as I can remember and was terrible at school, everyone thought I had a cognitive delay and discussed it behind my back.",BLUE
82,This movie got to me on a personal level.,DARK LEGACY Mayhem
83,"&quot;Dear Friend&quot;<br>So, back when I was in college in the 90s, my college girlfriend told me that the main character of this book kept reminding her of me. I was a little curious, but couldn&#39;t do much about it because I struggled with reading comprehension. However, since then, I have seen the movie and I am in the process of getting the book to read now that my reading comprehension has improved.  I know that it&#39;s been awhile since I have been in high school, but I&#39;m anxious to find a &quot;relatable character&quot;. I am writing this specifically to try to reach someof the other Charlies out there, if you have healed from whatever happened, how did you do it ? Were you ever able to genuinely trust and be able to give and receive love? Thanks for your time.<br><br>                             Love always,<br>                                           John",inverted halo
84,That’s not what psych wards look like there’s so many ways you could hurt yourself in that room. The lamps alone . . .,Sam Cu
85,"She pushed a little to hard if that was the first meeting, risky but to each his own",Christian Wehner
86,I read all the comments but I’m still having a little bit of trouble understanding this movie I saw it the first time and I still didn’t quite understand could somebody please explain it.  Did his aunt do something to him,Rachel Rosario
87,“Where am I?”<br>“Anewkenfllskeldk hospital.”,NICATOR
88,Did his aunt molest him? how and why?,Khairy
89,I was waiting for his suicide attempt by they didn’t show it.,Zuhoor Alhub
90,&#39;&#39;There is so mu..ch p..pain and I dont know how to stop it&#39;&#39;.,rababshahzad
91,I see myself in this scene. I see the battle going on and it hurts. Charlie is fortunate enough to have family that love and support him.<br><br>My heart thinks to those who don’t.,CMN Fox
92,"<a href=""https://www.youtube.com/watch?v=pWbrPDoi2RM&amp;t=3m31s"">3:31</a>",Sebaz Yo
93,"<a href=""https://www.youtube.com/watch?v=pWbrPDoi2RM&amp;t=4m36s"">4:36</a>, He&#39;s in pain! For pity&#39;s sake, give him a damn moment to compose himself.",Ordinary Gamer
94,Did he actually cut himself or did they get there before he had the chance?,Cam
95,This scene captures so much of my life.,john
96,Does he kind of remind any of you of Donnie Darko in this movie!?,Vinyl Music 98
97,I go through depression as well,Vince
98,The accuracy,Hayati
99,IM JHEWDUJHAJKS,toe croncher
