,comment,username
20,First view of the legendary Poncho. The events of this film are before fistful of dollars.,Marie Adams
21,"Que me jodan, pero esta sigue siendo una de mis escenas favoritas desde hace mas de 30 años que la ví ..... y si, así de viejo soy",Luis Chapita Ferrari DeOne
22,"El bueno,el malo y el feo,😊",Mario Arce
23,My nephew watched this with me under sufficient...he didn&#39;t get it why i liked this music..the soundtrack my nef..he gets it now....,Mike
24,They don&#39;t make such movies today😢,Narayan Kumar
25,TUDO PERFEITO<br>ATORES INTERPRETAÇÃO IMPECÁVEL.<br>MUSICA QUE SELECIONOU FOI SUPER FELIZ.<br>DIREÇÃO SEM PALAVRAS.<br>LOCAL DA CENA ESPETACULAR,wilian carneiro
26,"The music has to be the greatest composition for the scene , what do you think ? where can I get hold of the music ?",Roy Mayhew
27,This finale by Sergio Leone is comparable to Van Gogh’s Sunflowers - a masterpiece!,Mike Co
28,"My favorite movie of all time.  The most remarkable climactic showdown put to cinema.  Awesome, awesome, awesome movie.  Incredible music.  And Eli Wallach as the bandido, Tuco Benedicto Pacifico Juan Maria Ramirez stole the movie.  I would love to see it at a cinema.",Jon Mola
29,"When it comes to acting, Eli Wallach stole the show",Uk warrior
30,Man this is a horrible movie sounds and everything..😂😂😂😂,Aaron King
31,Shoot already don&#39;t remember this took so long but an old classic 😊,Kenneth Avesato
32,No name&#39;s partner was loyal until the end... <br>Now that&#39;s a man you can trust 😊,Maiky Bravo
33,2 can dig better than one,Ma Sv
34,Comigo,いきお やまかわ
35,"It is more than obvious, lee the big screen to clint",Rommel Malave
36,Everything about this film is exceptional. The acting and the camera work are fantastic. I especially love the original score that Ennio Morricone composed for this film. It is phenomenal.,Erez Zecharia
37,the bad one literally jumped to death so bravely,Allah Var Gam Yok
38,The best scene in the greatest film ever made ..end of .Compare to the crap made for teenagers these days .,Dean Tonna
39,"<a href=""https://www.youtube.com/watch?v=XP9cfQx2OZY&amp;t=4m58s"">4:58</a> If they had added about one more hour to this part of the &quot;Final Shoot Out&quot; scene, the movie goers would still be there watching!",Kris Dunwoody
40,One of the greatest westerns ever! Great cinematography and great music⭐⭐⭐⭐,Jacob James
41,"I love how Blondie is just toying with both Tuco and Angel Eyes.  He could have easily shot both Tuco and Angel Eyes when they were both getting into their positions.  And he knew that Tuco&#39;s gun was empty so he only had Angel Eyes as his lone target.  But he let it all play out and Tuco shot at Angel Eyes so he knew he could still trust Tuco.  Blondie was holding all the cards and the other two didn&#39;t even know it.  Like from Sun Tsu&#39;s Art of War, a battle is won before it&#39;s even fought.",Jon W.
42,Hello everyone<br>For me one of the best films of all time. Thanks very much.<br>Best regards<br>Raphael Wellig,Raphael Wellig
43,"As much as i adore this movie, my only criticism is on its ending but even then, such a freaking banger of a film.",shima aalayie
44,"ВОТ ТАК БЫ СТАЛИ ВЫ<br>УКРАИНА, РОССИЯ И ШТАТЫ.. МОЖЕТ БЫ ОБОШЛИСЬ БЕЗ ЛОПАТЫ",Олег Довгилович
45,SİZ NECƏ DÜŞÜNÜRSÜZ ŞƏRHCİIƏR Bİ SON İLLƏRDƏ İNSANIAR AĞILLANIB YOXSA AĞILDAN BAŞQA ALLAH BİZƏ HƏR ŞEY VERİB.😊,olum meleyi
46,Cena mais tensa da história do cinema <br>Masterpiece,Rafael Sousa
47,Brilliant actors.,Jim McCormack
48,فلم  اسطورة  جود جود,عبدالحق السيد
49,اجمل  لحظة   ضرب  الرصاص,عبدالحق السيد
50,"At <a href=""https://www.youtube.com/watch?v=XP9cfQx2OZY&amp;t=7m20s"">7:20</a> , did you notice one of the guy hasn&#39;t nail on the middle finger? 😮",Mahipal Singh Rawat
51,"<a href=""https://www.youtube.com/watch?v=XP9cfQx2OZY&amp;t=3m00s"">3:00</a> - <a href=""https://www.youtube.com/watch?v=XP9cfQx2OZY&amp;t=7m30s"">7:30</a>. One of the best and most suspense sequences of any film!",Catinkontti
52,"One of the greatest sequences of suspense ever made. The editing, the cinematography, the acting without words and Marricones score. Just and epic piece of art.",Zephead76
53,love this end for ever,Daniel Argueta
54,we are going to have to earn it....most manly words said.,jay morgan
55,My 3 favorite badasses,Mathieu Bardoux
56,Nothing can Clint eastwood..this film is one in a lifetime made...it has fabulous location..good actors and best of all..classic background music...,Neeta Singh
57,My fav movie of all time,Karthik Mb
58,Never noticed Angel Eyes gun is a percussion cap but he has a belt loaded with bullets.,bryan jhgj
59,"50+ years later, how great this was! Eli Wallach was a superb actor. Luv Lee Van Cleef as well!!!!!<br>Need MOrE of this in cinema, now a days !",JoedaPro
60,Timeless!,Lucas W
61,"Angel eye did a great mistake here...If tuco started digging on Arch Stanton....That means Blondie must have told the name as Arch stanton... And if there was no money in it then it implies that Bill carson must have said about the grave with money to be around grave of Arch stanton... If I were Angel eyes, I would kill Tuco and blondie and start searching graves around that of Arch stanton.",Rishu Shrivastav
62,White rock,Anthony T Kiser
63,Ha ha 😂,Jim McCormack
64,Ennio Morricone hat es geschafft in seiner Musik den Atem des Schicksals einzufangen. Es hebt dich in den Himmel oder bricht dir das Herz.,Stephan Jäger
65,Great actors. 😂,Jim McCormack
66,The job.,Jim McCormack
67,Is the Best Western dual all time.,Jason Santos
68,The existence of beauty will always part the ocean of mediocrity.  Carry this torch forward please.,Allen Thebutz
69,deze vind ik reuze goed!,Emiel Lagerweij
70,"<a href=""https://www.youtube.com/watch?v=XP9cfQx2OZY&amp;t=6m48s"">6:48</a> Angel Eyes <b>should have</b> caught that slight, slight nod Blondie gives Tuco.",Edward Gaines
71,Lee Van Cleef. Made for the role. The only man the man with no name could see as an equal.,Stewart Mackay
72,"Pura fantasía y pura mierda, en las películas de Cowboy, siempre el puta Americano es el bueno de y el fuerte frente a cientos de Espanos....<br>Hollywood es la CIA..",Ahmed jebari jebari
73,"Tuco just about gets hit in the head by Angel Eye&#39;s shovel throw!  Something else, when Tuco is standing on the cross with his head in the noos, sometimes the knot is low to his neck and sometimes it is high enough to see light below it and above his head! Guess they made numerous &#39;takes&#39;. Maybe he lost his footing a couple times? Anyway, just stuff you notice after watching the movie so many times. GREAT MOVIE!",Sparks 51
74,"Maestro Clint Eastwood <br><a href=""https://youtu.be/0zHsLcfjnOw"">https://youtu.be/0zHsLcfjnOw</a>",JascVlogger
75,Imposible igualar del mismo calibre. ACTORAZOS.,Sandra Castro
76,maestro!!!,Murat Özcelik
77,"The entire country is being torn apart by civil war, yet these three men couldn&#39;t care less.  It&#39;s all about the gold, and all the roads they&#39;ve traveled have led to this. One final standoff, with only the dead to bear witness.<br><br>Man, they don&#39;t make movies like they used to, do they?",JediPhoenix1976
78,some of the best films. Shame cant make like we used to.,guy stevens
79,"The Father, The Son and The Holy Spiri - except none need guns, eh ?",DogWithWigWamz.
80,"Sem somdra de duvidas ,um dos maiores atores faroeste  que ja vi ,sou van incondicional  dele .",Jeová Costa
81,Blonde😂,Mego 13711414
82,This film was pure genius,Yia Xiong
83,احل واجمل  واروع فلم اكشن,عبدالحق السيد
84,"I&#39;m sure this is a common message, but I sure do wish I could tell my dad how much I like this movie!",J Jj
85,"<a href=""https://www.youtube.com/watch?v=XP9cfQx2OZY&amp;t=7m10s"">7:10</a> pov a pedophile pitbull and Chinese restaurant owner when there’s a child on the road",Darth sidious
86,An Action Movie. Awesome.,FRANCIS HOR
87,best end scene ever.,Kalle Koppkaputt
88,"$5,000 is a Lot of Money!!!",silverbankruptcy
89,Неужели этом прекрасном в мире нельзя жить по человечески.сколько ещё жертв нужно чтобы успокоились 🤔,Emin Efendiyev
90,This music famouse still now,asif malik
91,👍,Mohmad Ned
92,Tuco🔥,Aziz Yiğido
93,Aroldo me gusta,aroldo Hernandez
94,La recuerdo fue mi favorita,Felipe Martínez Barrón
95,كنا نخلص درسه بسرعه من أجل اتابع هاي الأفلام الكابوي انها رائعه,قنات الهواطه لحمام
96,Шедевр.,Aliza какой крахмал надо на крем
97,Taek,M Hasym
98,❤❤❤super,Marzga Merazga
99,Eli Wallach should’ve got an Oscar for acting Hands Down. “Maybe these idiots will find somewhere else to fight.” Tuco 💯 😅,Bogdan Abraham
