,comment,username
29,"Reading comments from people complaining that this movie is boring or not scientifically accurate,  people who think that the two planets colliding is the main topic is weird and absurd, but it make sense somehow. <br>Maybe only people who faced mental health issues like severe depression or anxiety for themselves or a close relative can really love this movie. Maybe the luckiest folks who have not experienced it first hand can&#39;t get it and that&#39;s ok.<br>They will shrug and roll the eyes, mumbling &quot;unbelievable&quot; and run away fast when it gets too much, just like John, character in the movie. Lars Von Trier is telling us about them.<br>Maybe it&#39;s a good news for your mental health to find this movie boring, stupid and if you can&#39;t see the pretty big and obvious (like... a planet ?) metaphor.<br><br>Or maybe, it&#39;s just about understanding cinema and loving art, I don&#39;t know because that movie isn&#39;t just on point and powerful it&#39;s also extremely beautiful, but hey, each on his own.<br><br>If you think it&#39;s a masterpiece, like me, If you&#39;re touched to the core by Justine self sabotaging and reacting impulsively on the first part, getting cold and empty on the second. If you can relate too much to Claire distress and anxiety, well, I&#39;m sorry, you&#39;re probably broken too or were, at some point, and you&#39;re my family.",No_idea
30,"Justine was stoic, the boy was calm and accepting, and Claire was in utter terror and misery right to the very end. So much could be said about this film.",MavalocKing5050
31,When Lunar Princess Ranni shows up to the party...,Matt Hawkins
32,This movie looks dumb,Brian Baer
33,Why do rouge planets have to be so big?,megahorn2011 balls sniffer shitpost5
34,ERMMM THATS NOT SCIENTIFIACLLY ACRUATE 🤓,Comlain25
35,"Dunst was awesome here. And the movie itself is fantastic. Unfortunately it tried go too far in places, and it kind of stinks of intellectualism for intellectualism&#39;s sake. Sometimes I wish Hollywood movies were more European and European movies more American...",G.F. Sagredo
36,Where cna I watch this movie,lolitahaze14
37,"Should’ve played the Song of Time to go back to the 1st day, smh",StirFriedBadger
38,"A true feel-good flick if there ever was one. Kudos, Lars",Ксения Палуцкая
39,"Why the heck are they looking away? If I&#39;m going out, might as well enjoy the show while I can",Giuseppe Sagona
40,This director gives me bad vibes I can bet all my money he’s been on a Epstein flight before,Darkness
41,Mankind would’ve been eradicated long before the moment of impact. Having a bigger planet approaching earth will disrupt the climate and gravity so much that it would be impossible for either human or animals to survive.,Wiras Adi
42,"The funny thing is, I could almost not emphasize with justine, as I see very little of me in her. But damn I got massive creeps about how similar I am to Claire😟",Zephyrus
43,Bring it on.,Gene McN
44,"The sun rises on the last day <a href=""https://www.youtube.com/watch?v=koOQGxD4YLQ&amp;t=0m21s"">0:21</a>",D. Matz.
45,"I remember staying awake at night thinking about this movie when I first saw it. Literally everything, including the ground under your feet, is gone by the end of this movie. Like all of history is gone",KingInTheNorth
46,As everything went dark at the end the cinema was silent for 5 min. Even today after watching the end i paused for a while.,MrCoremi
47,666 views,Antonio Joel Mesa #amdreignssupreme
48,The music is so good.,Tyrell Bryant
49,This is a scene that i always come to whenever i want to cry and suffer for non-existent problems in my life,Ezequiel funes
50,That built up rumbling noise is really terrifying,Tom Ryan
51,Close your eyes,Paola Celletti
52,wow,Investing Journey with Yogesh
53,"Our lives are so limited. We live like we have forever, but where is your hope? Money, career, people, yourself? All will fail us, even our closests friends and family will fail us at times, and will we take nothing with us when we pass. All hope to make it to heaven, but few seek how to get there, because they are distracted by this dying world. Its a narrow path and few find it. For all have sinned and fall short of the glory of God. All need salvation (gay, straight, murderer, &quot;good&quot; person, white, black). Christ died where we should have been so that we may have life since He knew we couldn&#39;t live up to the Law&#39;s standards. May you turn to Him and let Him free you, that when this life passes we will meet in eternity. God bless! Read John, Acts, and Romans.",Lee Ford
54,"Aside from the fact that the science is totally off in this scenario (gravitational and tidal forces would have shattered the earth apart along its center line toward the other planet long before there was an actual collision), I must applaud this scene for expressing so much emotion without one word of conversation. Great acting and directing.",Fumble_ Brewski
55,Now that’s how I fucking die  with a big blast,Alex Powers
56,"I&#39;ve been a movie fanatic since I was 8.  35 years ago. I&#39;ve seen some movies up to 30..40 times.  There are 3 movies that I&#39;ve seen only once and swear to God that I&#39;m never gonna see them again. This one, On the beach with Armand Asante( I highly recommend it) and Requiem for a Dream.  I just can&#39;t get true the emotions again...",Legionarul Squad
57,Someday this will come to all of us; fast or slow.,Shannon Regina Johanna Millican
58,"With a such end you don’t have to pay the salaries of all the team, since they are cremated alive 😂",Jean-Jacques Cortes
59,Kirsten Dunst mamasita ❤❤❤,Cosmic prayer
60,That was her escape.,Kiran K
61,I’m sick of movies about mental illness. If I’m a writer I’m probably creaming just thinking of writing another one,Allie Johnson
62,I&#39;d love to experience this scene in virtual reality,Mark Dillon
63,"If your not depressed before watching this movie, you will be afterwards.",Michael Riley
64,that&#39;s a movie that stands out.,Paddy
65,Why does everyone seem to love that cheating whore Justine? 🤨,Harold Cox
66,i agree with all the 1 star reviews on netflix  TERRIBLE TERRIBLE TERRIBLE!!!!!!,Tommy Sands
67,Lasr is a GENIUS,Frank Costa
68,I like These Final Hours better,AMC2283
69,I mean what are you gonna do at this point-there’s no escaping. Might as well just sit there in your stick tent and accept Your fate-thankfully you’ll go quickly.,adrienneclark62511
70,Imagine an astronaut on the moon watching this...😁.,Doudymac
71,One of the most amazingly done ending ever. I think this one will be a one time watch for me. It was alot,Jack
72,So <i>thats</i> what Kim Kardashian&#39;s poor toilet seat has to endure every day,maggs131
73,Music sucks…!!,Đụ Mẹ U-Tube
74,I might be crazy but I&#39;d be eating popcorn watching this happen. It might be the end of the world but it would also be a beautiful sight to see 😂,Roronoa Zoro
75,Kinda funny this was uploaded before &quot;the end of the world&quot; so to speak since that it&#39;s already been almost ten years later....,radanju3
76,One of the movies where the world actually ends,EmBee
77,"<a href=""https://www.youtube.com/watch?v=koOQGxD4YLQ&amp;t=3m16s"">3:16</a> Did they just evaporate? Or was that dust??",Plep Stone
78,I couldn&#39;t imagine sitting there knowing that all of humanity is going to end and you are going to die that would be horrifying,dum_ tard
79,well crap,dum_ tard
80,NIBIRU-HERCOLOBUS 24 de abril 2034 END OF THE WORLD...,aldo rojo
81,"How to survive this: 1: end your missery, 2 (best one): be the cameraman.",Tina Hickey
82,no sequel? 😂,Sean Horne
83,"We all say movies with aliens and evil space creatures are scary but this to me is true ‘space horror’. Even though it’s less about space and more about how humans deal with death, grief, life and existence. I was so affected by this movie that it gave me some type of existential crisis I couldn’t shake off for weeks. Seriously, my mental health was not good and I ended up in a slump. I tried rewatching the ending now with a better headspace and I feel okay, but if you are someone that has mental health issues, as beautiful as the movie is I wouldn’t recommend watching it.",SUNA
84,"When it came down to the end, the perceived weak person was really the strongest person.",Anthony Gehm
85,0/10 horribly cropped,Norwegian Smores
86,I&#39;m  waiting for the sequel.....,darthracer777
87,Masterpiece …❤️,MrOlogramma
88,Why do I watch things that make my existential crisis so much worse,Hey Jamie
89,Kirsten Dunst breast brighten my time waiting for the impending doom 🤪,AVERAGE MAN
90,"You know, Lincoln&#39;s latest commercial is awfully reminiscent of this exact thing (/watch?v=D-tIsIpbanQ), and brought this scene to mind. <br><br>Upon watching it again, I realize it&#39;s an ending I&#39;ve never understood the dynamics of. I will have to do another watch of the film in case I missed something, but on its face as a singular movie, I understand that from the cinematic point of view, both visually and symbolically, having Justine face away from the planet in this trilogy formation as the &quot;head&quot; makes sense, especially when coupled with the raw, visceral way that Claire, still reeling from everything with her husband, is absolutely inconsolable, down to the very sinew and molecular structure - she just can&#39;t stay still, can&#39;t hold their hands, can&#39;t, in the face of that oncoming planet, do anything but become a ball of frenetic, energetic turmoil.  I can see how important and impactful that is in its place within the film.  <br><br>But on a merciful level, from the perspective of someone who naturally feels as Justine does in being calmly at peace about the idea of a catastrophic, apocalyptic end, it&#39;d have been kinder for Clare to be in Justine&#39;s place so that she didn&#39;t have to suffer seeing it arrive in real time (though all things considered, maybe that, too, behaves as unintentional commentary on forethought, selfishness, self-awareness, self-absorption, consideration for others, and the presence or lack thereof of mercy; in much the same way it the movie, whether intentional or no, is a great depiction of sickness of wealth, privilege, monochromatism and first world problems - will try viewing the film from those perspectives next time).  Maybe what I suspect is true and the cruelty and/or apathy is the point - I&#39;ve not seen seen the rest of the director&#39;s trilogy to know if that might be the case.<br><br>Still, if anything, I&#39;m surprised Justine didn&#39;t take Claire&#39;s seating position, since she was in tune with the planet enough to want to sunbathe naked in its light and was rather fascinated and in awe of it instead of being fearful. Personally, I&#39;d have sat in Claire&#39;s spot (or opposite Justine, directly facing the oncoming planet - that, to me, would&#39;ve been a true physical depiction of someone at peace with or welcoming its arrival) just to be able to stare at its beauty as it arrives. After all, when it comes to endings, that&#39;s a gorgeous, awe-inspiring, poetic, and thankfully, instantaneous,  way to go.",californication751
91,"Could have used a more up-beat ending. Like after all this she wakes up and it was all a dream, and Louis Armstrong&#39;s &quot;What a Wonderful World&quot; starts playing. 😀",The Be Sharp
92,Justine: [to Leo and Claire as Melancholia approaches] Hold my hand. Close your eyes.,Christian Kliber Alsing
93,I wonder if they lived,David Jimenez
94,Tbh i prefer to die like this than to dying of illness slowly on the bed.,blu menthal
95,This film so wonderfully explores depressives.  It’s beautiful as well.  One of my favorites.,Modern Day Heretic
96,"I just wanna say, fuck her husband for stealing all the pills and leaving his wife and a small son to die like this",ENIO
97,Golly. I love this music and movie so much. To focus on the end scene was a treat. Thank you for posting.,Georgette Constant
98,"nowadays this scene hits so hard. Even without global warming, there are so many possibilities that could end the world as we know it that we have no control over. For me at least I always try to avoid the thought of what happens after death since good or bad at the end of the day I don&#39;t want to leave what I already have.",residentevil4life
99,"As a depressed person, I would be so mad if the other planet suddenly flipped a U-ie. Come back here and kill me damn it!",linmonPIE
